case_id,case_folder,case_type,split,image_count,is_complete_case,expected_status,acceptable_status,predicted_status,exact_match,acceptable_match,expected_flagged_filenames,predicted_flagged_filenames,flagged_exact_match,flagged_partial_match,raw_consistency_score,main_view_score,detail_support_score,color_consistency_score,robust_consistency_score,notes,error
case_0018,images/18,same_product_normal,all,6,True,consistent,"[""consistent""]",inconsistent,False,False,[],"[""main_front_flat_2.jpeg""]",False,False,0.7764,0.8034,0.8732,0.9457,0.8445,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0019,images/19,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.817,0.845,0.8974,0.9232,0.8683,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0020,images/20,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.756,0.8543,0.6983,1.0,0.8844,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0021,images/21,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7061,0.8022,0.6504,0.9344,0.829,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0022,images/22,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7229,0.7638,0.6916,0.9059,0.7974,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0023,images/23,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.775,0.8108,0.8622,0.9457,0.849,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0024,images/24,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.6832,0.7641,0.7294,0.9457,0.81,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0025,images/25,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.9041,0.9161,0.9386,0.9457,0.9251,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0026,images/26,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.777,0.8166,0.837,1.0,0.8659,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0027,images/27,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7437,0.8519,0.5948,0.9457,0.8631,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0028,images/28,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7205,0.7814,0.6801,0.9232,0.8134,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0029,images/29,same_product_normal,all,5,False,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7284,0.8155,0.6297,0.9457,0.84,"This case currently contains 5 images. It was visually labeled, but it needs one additional image to meet the standard 6-image validation requirement.",
case_0030,images/30,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.8105,0.8532,0.8402,1.0,0.8911,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0031,images/31,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3098,0.8452,0.2489,0.9457,0.8402,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0032,images/32,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.4018,0.8215,0.294,1.0,0.8407,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0033,images/33,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3734,0.895,0.3018,1.0,0.8914,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0034,images/34,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.449,0.8542,0.3828,0.9232,0.8475,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0035,images/35,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3044,0.8537,0.2297,1.0,0.8594,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0036,images/36,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.4438,0.918,0.4064,1.0,0.9126,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0037,images/37,same_product_closeups,all,5,False,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.2931,0.8172,0.1721,0.9457,0.817,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies. This case currently contains 5 images and needs one additional image to meet the standard 6-image validation requirement.",
case_0038,images/38,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3147,0.8837,0.2268,0.9457,0.8654,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0039,images/39,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.349,0.8796,0.3452,1.0,0.8832,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0040,images/40,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.2941,0.9406,0.2395,1.0,0.9193,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0041,images/41,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.2621,0.7722,0.175,1.0,0.8007,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0042,images/42,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.315,0.9015,0.2858,1.0,0.895,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0043,images/43,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.4525,0.906,0.3836,0.9457,0.889,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0044,images/44,same_product_closeups,all,6,True,consistent,"[""consistent""]",needs_review,False,False,[],"[""detail_label.jpeg""]",False,False,0.2533,0.8477,0.1815,1.0,0.8527,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0045,images/45,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3473,0.8584,0.201,0.9059,0.8363,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0046,images/46,same_product_closeups,all,5,False,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3011,0.8081,0.1667,1.0,0.8248,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies. This case currently contains 5 images and needs one additional image to meet the standard 6-image validation requirement.",
case_0047,images/47,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.2448,0.8298,0.1184,1.0,0.8372,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0048,images/48,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3948,0.8698,0.2702,0.9457,0.8582,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0049,images/49,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3057,0.8656,0.1983,0.9059,0.8411,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0050,images/50,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.2872,0.7818,0.1938,0.9457,0.794,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0051,images/51,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.2653,0.8863,0.0998,1.0,0.8748,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0052,images/52,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.334,0.8205,0.2799,0.9059,0.8145,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0053,images/53,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.3838,0.8542,0.3843,1.0,0.8678,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0054,images/54,same_product_closeups,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.4629,0.8667,0.3163,0.9457,0.8585,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0055,images/55,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],[],True,True,0.5918,0.7046,0.6536,0.8118,0.7301,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0056,images/56,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],[],True,True,0.6104,0.7153,0.6823,0.9232,0.7682,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0057,images/57,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],[],True,True,0.4974,0.5755,0.4774,0.9232,0.6618,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0058,images/58,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""partial_view.jpeg""]",False,False,0.5589,0.6659,0.5243,0.776,0.6874,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0059,images/59,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],[],True,True,0.6026,0.7289,0.6413,0.8041,0.7441,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0060,images/60,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",consistent,True,True,[],[],True,True,0.5207,0.6602,0.3462,0.9232,0.7129,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0061,images/61,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""partial_view.jpeg"", ""main_back_flat.jpeg""]",False,False,0.5301,0.5999,0.5112,0.9059,0.6758,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0062,images/62,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],[],True,True,0.5547,0.753,0.5405,0.9008,0.7807,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0063,images/63,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],[],True,True,0.5418,0.6036,0.5874,0.8727,0.6736,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0064,images/64,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""partial_view.jpeg""]",False,False,0.4565,0.6351,0.4683,0.8864,0.6925,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0065,images/65,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""partial_view.jpeg""]",False,False,0.484,0.5264,0.4093,0.8669,0.6099,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0066,images/66,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""partial_view.jpeg""]",False,False,0.5089,0.6813,0.4432,0.8669,0.7176,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0067,images/67,same_product_hard_conditions,all,5,False,consistent,"[""consistent"", ""needs_review""]",consistent,True,True,[],[],True,True,0.5332,0.7421,0.4256,0.8922,0.7649,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent. This case currently contains 5 images. It was labeled as a hard-conditions same-product case, but it needs one additional image to meet the standard 6-image validation requirement.",
case_0068,images/68,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],[],True,True,0.4751,0.7511,0.4635,0.776,0.7425,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0069,images/69,same_product_hard_conditions,all,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""partial_view.jpeg""]",False,False,0.5222,0.6766,0.4879,0.776,0.6928,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0071,images/71,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpeg""]",[],False,False,0.6611,0.762,0.6855,1.0,0.8206,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0072,images/72,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",consistent,False,False,"[""05_wrong_product.jpeg""]",[],False,False,0.6739,0.7145,0.7959,1.0,0.7939,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0073,images/73,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpeg""]",[],False,False,0.6891,0.7456,0.7272,0.9145,0.7891,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0074,images/74,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpeg""]",[],False,False,0.5248,0.5201,0.7556,0.9457,0.6445,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0075,images/75,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]","[""05_wrong_product.jpg"", ""03_detail_label.jpg""]",False,True,0.4665,0.4917,0.5895,0.7784,0.5723,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0076,images/76,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.4606,0.5935,0.4363,0.776,0.6333,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0077,images/77,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.6363,0.7057,0.6797,0.9457,0.7675,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0078,images/78,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.5351,0.6074,0.5772,0.9232,0.6889,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0079,images/79,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.6402,0.5757,0.8389,0.8118,0.6517,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0080,images/80,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]","[""05_wrong_product.jpg""]",True,True,0.5885,0.7321,0.6484,0.9457,0.7839,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0081,images/81,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.6258,0.7861,0.6753,0.9457,0.8222,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0082,images/82,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",consistent,False,False,"[""05_wrong_product.jpg""]",[],False,False,0.6599,0.6484,0.869,0.9059,0.7278,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0083,images/83,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.5275,0.5202,0.6352,0.9232,0.6323,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0084,images/84,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.6236,0.7244,0.6577,0.9059,0.7687,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0085,images/85,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.5275,0.5202,0.6352,0.9232,0.6323,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0086,images/86,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.4972,0.5959,0.6387,0.9232,0.6842,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0087,images/87,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.5439,0.6292,0.5976,0.9059,0.7003,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0088,images/88,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.6524,0.7939,0.7445,0.9059,0.8207,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0089,images/89,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",consistent,False,False,"[""05_wrong_product.jpg""]",[],False,False,0.6884,0.8229,0.7746,0.9059,0.8422,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0090,images/90,one_wrong_image,all,6,True,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,True,True,"[""05_wrong_product.jpg""]",[],False,False,0.5682,0.6545,0.689,0.9059,0.7224,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0091,images/91,same_color_different_model,all,6,True,inconsistent,"[""needs_review"", ""inconsistent""]",needs_review,False,True,[],[],True,True,0.6252,0.6786,0.6376,0.9232,0.7408,"This case mixes images from two visually similar products. The products may share color, category, or brand, but they differ in model details such as cut, collar, seams, label, pattern, logo, or shape. Since the set is split between product A and product B, the system should mark the listing as inconsistent or needs_review rather than flagging only one individual image.",
case_0092,images/92,same_color_different_model,all,6,True,inconsistent,"[""needs_review"", ""inconsistent""]",consistent,False,False,[],[],True,True,0.7163,0.6907,0.744,0.9529,0.7625,"This case mixes images from two visually similar products. The products may share color, category, or brand, but they differ in model details such as cut, collar, seams, label, pattern, logo, or shape. Since the set is split between product A and product B, the system should mark the listing as inconsistent or needs_review rather than flagging only one individual image.",
case_0093,images/93,same_color_different_model,all,6,True,inconsistent,"[""needs_review"", ""inconsistent""]",needs_review,False,True,[],"[""02_product_a_back.jpg""]",False,False,0.4317,0.6013,0.3756,0.9059,0.6695,"This case mixes images from two visually similar products. The products may share color, category, or brand, but they differ in model details such as cut, collar, seams, label, pattern, logo, or shape. Since the set is split between product A and product B, the system should mark the listing as inconsistent or needs_review rather than flagging only one individual image.",
case_0094,images/94,same_color_different_model,all,6,True,inconsistent,"[""needs_review"", ""inconsistent""]",needs_review,False,True,[],[],True,True,0.5244,0.6589,0.4802,1.0,0.7393,"This case mixes images from two visually similar products. The products may share color, category, or brand, but they differ in model details such as cut, collar, seams, label, pattern, logo, or shape. Since the set is split between product A and product B, the system should mark the listing as inconsistent or needs_review rather than flagging only one individual image.",
